#,kpt,grid,G4x4
#,e_cutoff,e_total,e_diff
200,-20.615181,,
225,-20.619573,-.004392,.026635
250,-20.625671,-.006098,.020537
275,-20.630331,-.004660,.015877
300,-20.635486,-.005155,.010722
325,-20.639253,-.003767,.006955
350,-20.641264,-.002011,.004944
375,-20.643073,-.001809,.003135
400,-20.644107,-.001034,.002101
425,-20.644377,-.000270,.001831
450,-20.644537,-.000160,.001671
475,-20.644778,-.000241,.001430
500,-20.645037,-.000259,.001171
525,-20.645416,-.000379,.000792
550,-20.645720,-.000304,.000488
575,-20.645999,-.000279,.000209
600,-20.646203,-.000204,.000005
625,-20.646308,-.000105,-.000100
650,-20.646386,-.000078,-.000178
675,-20.646414,-.000028,-.000206
700,-20.646419,-.000005,-.000211
725,-20.646388,.000031,-.000180
750,-20.646348,.000040,-.000140
775,-20.646315,.000033,-.000107
800,-20.646273,.000042,-.000065
825,-20.646237,.000036,-.000029
850,-20.646219,.000018,-.000011
875,-20.646210,.000009,-.000002
900,-20.646208,.000002,0
