#,kpt,grid,G4x4
#,e_cutoff,e_total,e_diff
200,-21.688400,,
225,-21.694393,-.005993,.027557
250,-21.700301,-.005908,.021649
275,-21.705238,-.004937,.016712
300,-21.710682,-.005444,.011268
325,-21.714607,-.003925,.007343
350,-21.716818,-.002211,.005132
375,-21.718682,-.001864,.003268
400,-21.719704,-.001022,.002246
425,-21.719973,-.000269,.001977
450,-21.720145,-.000172,.001805
475,-21.720421,-.000276,.001529
500,-21.720711,-.000290,.001239
525,-21.721107,-.000396,.000843
550,-21.721434,-.000327,.000516
575,-21.721720,-.000286,.000230
600,-21.721929,-.000209,.000021
625,-21.722038,-.000109,-.000088
650,-21.722119,-.000081,-.000169
675,-21.722149,-.000030,-.000199
700,-21.722157,-.000008,-.000207
725,-21.722128,.000029,-.000178
750,-21.722090,.000038,-.000140
775,-21.722057,.000033,-.000107
800,-21.722014,.000043,-.000064
825,-21.721979,.000035,-.000029
850,-21.721960,.000019,-.000010
875,-21.721952,.000008,-.000002
900,-21.721950,.000002,0
